,Uni_Grams,Freq
2,ہے,803
31,میں,600
80,سے,496
58,نہ,394
99,کو,371
41,کہ,330
76,کا,325
230,کے,304
21,نہیں,286
8,و,279
112,کی,268
47,تو,267
137,دل,246
42,کیا,240
330,تھا,213
53,ہو,210
104,ہیں,200
160,وہ,194
268,بھی,191
521,نے,177
210,یہ,172
57,ہوں,158
130,ہم,151
88,جو,149
198,اس,131
177,بے,124
105,پر,112
305,ہوا,110
82,کر,106
37,پہ,100
59,کیوں,98
197,اور,94
72,کوئی,90
237,ہر,87
6,ہوتا,81
270,گیا,79
224,جس,72
138,ہی,69
414,اے,68
24,مجھے,65
404,کچھ,64
301,کس,62
64,پھر,62
873,غالب,61
363,عشق,61
67,گل,60
187,غم,59
374,کہیں,58
291,اگر,56
364,گر,55
262,اب,54
220,خدا,53
190,ایک,53
11,اک,53
741,بہ,51
529,سر,49
491,یا,49
411,میری,48
460,آیا,48
458,مجھ,46
369,ہوئے,46
333,کبھی,45
267,جہاں,43
4,مرے,43
391,نظر,43
271,ہوگا,43
223,وفا,42
654,تھے,42
236,ہائے,41
337,میرے,40
49,رنگ,40
1619,ھے,39
600,خیال,39
1230,پایا,39
44,میرا,39
238,تم,39
107,یوں,38
1150,نکلا,38
316,یار,37
145,گے,37
560,یک,36
390,آتی,35
143,آئے,35
159,جب,35
48,دیکھ,35
36,خاک,35
256,رہا,34
527,تک,33
156,گزر,33
282,لیے,33
7,شب,33
618,آج,33
420,مگر,33
819,کرے,32
209,یاں,31
1730,اسد,31
85,ان,31
141,درد,31
409,یاد,30
152,در,30
183,تیرے,30
116,خوں,30
50,تیرا,30
216,کہاں,30
487,آخر,30
203,اپنے,29
1041,آ,29
16,بات,29
157,غیر,29
348,دوست,28
134,غالبؔ,28
312,تھی,28
45,ترے,28
181,سہی,28
1351,اُس,28
948,دیا,28
427,لیکن,27
431,گا,27
701,شوق,27
344,جگر,27
478,مے,27
358,رہے,27
176,ناز,26
428,کم,26
498,تجھ,26
720,تیری,26
173,جاں,26
453,گھر,26
122,ہاتھ,26
1138,وہی,26
71,دے,25
5,آگے,25
451,ہوئی,25
196,حسن,25
884,چمن,24
147,بار,24
407,ورنہ,23
148,ہمیں,23
97,کام,23
155,رہ,22
23,عالم,22
269,جل,22
397,کسی,22
524,آہ,22
127,دو,22
356,جسے,22
3665,اقبال,22
1115,طرح,21
327,تری,21
214,راہ,21
206,واں,21
525,چاہیے,21
228,جائے,21
395,رات,21
165,آپ,20
304,آرزو,20
671,زخم,20
1454,کئے,20
108,مر,20
1347,سب,20
425,بہت,20
920,اپنی,20
1020,سو,20
605,دیکھا,19
133,راز,19
392,دن,19
118,یہی,19
120,ابھی,19
125,دم,19
931,مری,19
859,قدر,19
692,جنوں,19
52,کہتے,19
519,کرتا,19
2020,گئیں,19
971,باقی,19
1077,لب,19
113,تمنا,19
55,خود,18
472,ستم,18
1125,زندگی,18
479,خانہ,18
571,شمع,18
200,گئی,18
1556,کریں,18
2512,سمجھا,18
1525,ساتھ,18
3,دنیا,18
217,بزم,18
799,بہار,18
376,اسے,18
1127,لگا,17
387,بادہ,17
682,لے,17
786,پسند,17
169,منہ,17
1086,حق,17
167,سوز,17
544,تا,17
476,اسی,17
347,بنے,17
119,آتا,17
1040,خواب,17
10,تماشا,17
96,مرا,16
357,سمجھ,16
191,موت,16
1949,غمِ,16
142,بھر,16
681,اپنا,16
322,جان,16
43,حال,16
578,رب,16
568,اسدؔ,16
773,نگاہ,16
1124,مرد,16
299,رہی,16
1529,تن,16
576,کھلا,16
1606,دیکھتے,16
232,کون,16
659,آئینہ,15
461,زمانہ,15
430,قاتل,15
809,نفس,15
547,گی,15
1458,پهر,15
2402,چلے,15
335,سکتا,15
471,تیغ,15
382,ترا,15
883,قدم,15
531,موج,15
1608,آئیں,15
1005,دی,14
999,لیا,14
882,نقش,14
452,صبح,14
488,دوا,14
540,طلب,14
2395,مقام,14
424,نکلے,14
40,پوچھ,14
473,محبت,14
906,وحشت,14
693,وقت,14
146,ہزار,14
553,جائیں,14
545,قیامت,14
1455,جوشِ,14
66,انداز,14
696,بیاباں,14
70,رکھ,14
413,داغ,13
1193,آتش,13
838,ساقی,13
750,باد,13
410,کرتے,13
211,حجاب,13
1592,روشن,13
435,عمر,13
20,نام,13
1136,جاتی,13
802,تیز,13
653,آب,13
683,گئے,13
950,بنا,13
33,ہوتے,13
398,جانتا,12
350,چارہ,12
533,صد,12
416,خبر,12
499,بن,12
1102,آساں,12
569,مرگ,12
1094,مشکل,12
1157,حسرت,12
504,لوگ,12
103,خوش,12
1418,اہلِ,12
1215,رو,12
38,دریا,12
753,نالہ,12
954,زباں,12
871,گم,12
186,بند,12
32,صحرا,12
100,برا,12
779,ذوق,12
1495,لالہ,12
1043,معلوم,12
1315,دست,12
250,وگرنہ,12
1147,آزاد,12
212,پاس,12
904,پیدا,12
641,دار,12
1421,از,11
2192,پانو,11
1134,فرد,11
3379,یہاں,11
901,گریباں,11
341,کش,11
405,ایسی,11
3218,سکا,11
1334,ایسے,11
319,انتظار,11
351,ساز,11
3710,فقط,11
861,محفل,11
858,چراغاں,11
608,کہا,11
384,تجھے,11
1364,بندہ,11
2006,مستی,11
512,سا,11
817,باز,11
139,سنگ,11
551,تغافل,11
136,اچھا,11
949,لگے,11
1250,دماغ,11
1249,پا,11
456,دور,11
249,سخن,11
1241,آزما,11
991,مژگاں,10
632,قطرہ,10
557,فنا,10
349,ناصح,10
1264,فکر,10
110,آئی,10
526,اثر,10
1036,زنداں,10
585,گویا,10
258,لہو,10
1114,جا,10
2685,ذرا,10
1607,صبا,10
844,بس,10
832,الفت,10
510,نگہ,10
821,ہنوز,10
260,ہمارے,10
796,نوا,10
467,داد,10
927,فلک,10
462,جام,10
649,دشت,10
79,رشک,10
916,آسماں,10
1543,کیے,10
563,ہستی,10
310,شہر,10
684,صاحب,10
830,نا,10
313,ہماری,10
331,عہد,10
482,اتنا,10
497,مدعا,9
1267,زنجیر,9
1232,مزا,9
434,تر,9
1144,کفن,9
78,گزرے,9
9,روز,9
1234,دشمن,9
121,گو,9
128,ساغر,9
1583,چشمِ,9
1308,پرواز,9
389,بر,9
477,کافر,9
2295,دمِ,9
464,جن,9
1148,رقیب,9
1211,اہل,9
1075,کیجے,9
1585,سرِ,9
2390,جہان,9
564,غافل,9
646,ہوائے,9
670,جلوۂ,9
302,امید,9
635,حساب,9
1182,کب,9
1488,ویراں,9
543,خون,9
2748,ھوں,9
1523,اشک,9
3291,یارو,9
562,فرصت,9
1411,ملے,9
288,بو,9
340,نیم,9
1660,فطرت,9
1074,شکایت,9
367,بلا,9
515,بھلا,9
801,سوئے,9
797,پردہ,9
597,پاؤں,9
168,پردے,9
1498,چاہتا,9
778,تنگ,9
1931,سرور,9
1050,پریشاں,9
314,قسمت,9
629,رہیں,8
580,گوہر,8
634,پڑا,8
3298,فیضؔ,8
1173,دیدار,8
1236,سادگی,8
450,خط,8
652,جوہر,8
1168,طوفاں,8
811,بسکہ,8
469,زیادہ,8
2477,خار,8
514,ابر,8
517,صدا,8
790,جلوہ,8
787,عدم,8
771,سخت,8
1405,بلند,8
1189,خراب,8
485,جاتا,8
1557,رکھتے,8
1555,گزری,8
537,گہر,8
890,زمیں,8
1553,دیوار,8
542,کروں,8
1441,بعد,8
1456,بزمِ,8
2408,مدت,8
1303,دیدہ,8
810,گداز,8
2147,حسرتِ,8
1286,شام,8
677,دہر,8
2348,ملا,8
279,آنکھ,8
360,اگرچہ,8
39,مت,8
295,شیشہ,8
339,تیر,8
1602,ذوقِ,8
151,حرم,8
62,آئنہ,8
244,ادا,8
1855,گلشن,8
418,مرنے,8
219,ہاں,8
1160,لذت,8
1657,دلِ,8
1906,نقشِ,8
290,شراب,8
226,عزیز,8
229,خستہ,8
166,نظارہ,8
234,زار,8
1122,نبرد,8
184,قید,8
1706,لا,8
1597,موجِ,8
1152,تصویر,8
19,جز,8
182,سامنے,8
192,پہلے,8
1197,لگی,7
842,ساحل,7
124,آنکھوں,7
189,دونوں,7
520,دعا,7
846,بسمل,7
1381,جزا,7
193,آدمی,7
135,کہو,7
3179,حضور,7
117,کاش,7
365,روزگار,7
1052,تسلی,7
1419,یقیں,7
2746,جدا,7
835,حاصل,7
274,جستجو,7
2921,کيا,7
780,عیش,7
713,شاید,7
1153,عریاں,7
326,اعتبار,7
3353,چکا,7
1633,ھیں,7
2247,سکتے,7
180,رخ,7
338,پوچھے,7
109,جاتے,7
1371,علی,7
185,حیات,7
722,منتظر,7
818,کاوش,7
704,کوہ,7
762,مہ,7
822,ناخن,7
530,دام,7
1504,بام,7
2631,دیتا,7
947,بیاں,7
30,گرد,7
937,خس,7
1096,کف,7
2487,رہگزر,7
1238,خودی,7
2546,سنا,7
1242,یعنی,7
508,زلف,7
433,چشم,7
960,دیں,7
985,باغ,7
415,وہاں,7
29,نہاں,7
1104,ہمارا,7
609,کہہ,7
1098,فیض,7
973,بحر,7
1258,وا,7
3062,نماز,7
601,عمل,7
1233,پائی,7
1311,قتل,7
2052,سن,7
1740,جنبشِ,7
1327,کشِ,7
241,شعلہ,7
1063,چاہا,7
2849,خالی,7
243,برق,7
3101,چاک,7
896,شور,7
1514,جی,7
246,شوخ,7
3119,مسلماں,7
1139,احباب,7
388,خوار,7
666,غنچہ,7
969,تمام,7
2768,ایسا,6
1055,معنی,6
1069,کرنے,6
1070,گوش,6
3349,کسے,6
3753,اقبالؔ,6
1449,کلام,6
251,خوف,6
655,ہوے,6
2794,ھو,6
1450,غلط,6
1472,خونِ,6
661,غبار,6
3765,افلاک,6
664,قرار,6
1066,راضی,6
1184,ایجاد,6
676,نشاط,6
2438,حرف,6
2177,انجمن,6
1589,محوِ,6
1701,طرف,6
941,اٹھا,6
83,کہوں,6
908,تنہائی,6
2580,آباد,6
914,بیداد,6
1293,شمشیر,6
929,امتحاں,6
1823,یارب,6
1021,ویرانی,6
61,بت,6
1276,جفا,6
91,کعبہ,6
945,غزل,6
961,ملت,6
1812,شعر,6
1141,سکے,6
1252,آشنا,6
2510,کوئے,6
22,صورت,6
1231,زیست,6
1777,برہم,6
895,عرض,6
887,ناک,6
202,شرم,6
1372,شمعِ,6
756,آیا,6
2222,شیریں,6
1719,مثلِ,6
1881,تلک,6
1721,نازک,6
792,خرام,6
795,محرم,6
1132,نسخہ,6
154,بیٹھے,6
150,دیر,6
886,بوئے,6
843,ز,6
1199,بارہا,6
2272,خامشی,6
856,آئینۂ,6
3092,ہونے,6
2664,داغِ,6
870,منزل,6
106,وصل,6
1324,کہنے,6
826,سینہ,6
726,ملک,6
1565,کرم,6
1146,عجب,6
343,ہوتی,6
1510,نو,6
2400,علم,6
1593,بیخودی,6
1647,پیر,6
3609,شاہیں,6
587,گرچہ,6
2081,دیکھنا,6
283,بہشت,6
438,خلد,6
2945,کي,6
483,جانتے,6
311,آبرو,6
432,گردن,6
1972,کہے,6
448,پیچ,6
1580,جلوہٴ,6
2923,ميں,6
3038,نصیب,6
3213,پیار,6
324,جانا,6
421,ہزاروں,6
505,کیسے,6
3712,خاشاک,5
1294,باہر,5
3833,خرد,5
1392,لبِ,5
2238,تاب,5
2717,عذر,5
1128,اڑنے,5
1295,آگہی,5
1839,حریفِ,5
552,کرو,5
2898,جیسے,5
1387,تیغِ,5
3718,ادراک,5
3617,فرنگی,5
757,سویدا,5
2565,حالِ,5
2209,اللہ,5
3015,اندوہِ,5
3382,آشیانہ,5
1053,لفظ,5
938,آشیاں,5
1532,فراق,5
1283,پیرہن,5
1126,کھٹکا,5
1649,زر,5
935,قفس,5
2735,شخص,5
1605,ہجر,5
1410,قضا,5
484,کل,5
2728,مسجد,5
752,گرم,5
65,دیکھیے,5
3721,جذب,5
2560,مکتب,5
1289,شیر,5
3720,مسلمانی,5
2575,کرتی,5
794,سعی,5
783,گاہ,5
2266,فریاد,5
828,سراپا,5
1366,بندوں,5
1630,بلبل,5
1204,گرمی,5
833,عبادت,5
131,پیشہ,5
1987,ذکر,5
1988,آزار,5
129,مینا,5
1135,دریائے,5
1369,جوہرِ,5
126,رہنے,5
522,مانا,5
1352,اِس,5
3855,فقر,5
2667,دینگے,5
855,خانۂ,5
1559,سوزِ,5
111,ہجراں,5
3821,فرنگ,5
352,گسار,5
1207,کار,5
550,سحر,5
84,لو,5
1025,درباں,5
386,سمجھتے,5
325,خوشی,5
2178,ہنگامۂ,5
2317,کتنے,5
798,شکستہ,5
3705,روشنی,5
163,مہر,5
1307,طاؤس,5
805,دراز,5
823,قرض,5
2063,جواب,5
334,توڑ,5
2403,شیخ,5
153,آستاں,5
495,رکھتا,5
1165,دشوار,5
345,پار,5
1866,غریب,5
1985,بہم,5
402,طبیعت,5
1202,عنقا,5
1582,مژگانِ,5
235,کیجیے,5
439,آدم,5
593,پنہاں,5
639,توڑا,5
1689,فردا,5
1505,ہوس,5
1486,صنم,5
1910,سادہ,5
2022,تھیں,5
584,تکلف,5
967,ستارے,5
2434,انسان,5
2335,فائدہ,5
1121,باب,5
441,کوچے,5
691,ضعف,5
1081,حیرت,5
1240,جرأت,5
1179,چھپا,5
2104,دامن,5
3642,تہذیب,5
1670,رنگِ,5
1245,نمک,5
1807,فردوس,5
2509,بھول,5
650,ذرہ,5
1511,بہارِ,5
663,برگ,5
665,جوں,5
1685,طلسم,5
980,عام,5
1661,خیالِ,5
254,عدو,5
403,ادھر,5
672,آشکار,5
25,منظور,5
1265,حلقہ,5
2420,خوب,5
715,پیمانہ,5
2876,پہنچے,5
3607,نشیمن,5
1496,گلستاں,5
3123,سفر,5
213,وضع,5
622,غربت,5
719,جنت,5
3141,بندگی,5
1445,امام,5
3364,شاخ,5
624,نامہ,5
2540,مارے,5
2162,مہرباں,5
3323,اول,5
709,فتنہ,5
248,خو,5
1071,منت,5
294,چار,5
1490,عرضِ,5
292,خم,5
630,واسطے,5
1926,صدف,5
1161,یاروں,5
869,رواں,4
3020,کردار,4
1331,خفا,4
89,کھینچے,4
3539,حدیث,4
1006,زمانے,4
894,آوارۂ,4
1738,خلوت,4
98,مجنوں,4
2305,حقیقت,4
3839,صوفی,4
2937,يہ,4
1009,خانے,4
1142,نورد,4
993,دانہ,4
1030,چراغ,4
93,عاشق,4
1741,شوخیِ,4
1775,مانگ,4
1323,چند,4
1205,دکھاتا,4
502,پری,4
1322,زمین,4
3654,کیفیت,4
1609,قدرت,4
2955,زانو,4
412,آواز,4
1268,پرور,4
4196,قوم,4
2534,ہوش,4
486,ناداں,4
3650,کلی,4
394,نیند,4
1273,کشا,4
1813,احوال,4
2538,زوال,4
952,حسین,4
1106,سیر,4
2281,نیاز,4
3965,بندۂ,4
481,واعظ,4
60,بیٹھا,4
406,چپ,4
946,وسعت,4
3658,بنوں,4
474,فرق,4
1603,کاوشِ,4
2035,مصر,4
1577,ہجومِ,4
1584,ناب,4
2360,مقدر,4
1209,افسردگی,4
1246,چھڑکا,4
1027,گشتہ,4
86,ایماں,4
2351,فضا,4
1219,بیکسی,4
2315,دھرا,4
1811,میر,4
1137,کشمکش,4
977,نکتہ,4
2948,آؤ,4
1844,تماشائے,4
3009,مرگیا,4
1302,موئے,4
1754,ضمیر,4
1570,گریے,4
1016,خرابی,4
1217,صحبت,4
1099,دلی,4
1263,بہا,4
1299,تقریر,4
2424,ازل,4
813,شیشے,4
3442,رسم,4
2789,ظاہر,4
3587,ملی,4
1696,ستمگر,4
231,بغیر,4
689,خطا,4
694,تپش,4
225,دین,4
697,ضرور,4
698,وائے,4
221,پرست,4
1059,دبا,4
293,لوں,4
703,لخت,4
1187,آئینے,4
296,قدح,4
575,دفتر,4
240,گفتگو,4
218,بلائے,4
1651,جنونِ,4
300,طاقت,4
3601,ادب,4
725,حور,4
3747,تقدیر,4
3049,کیلئے,4
1433,سزا,4
306,شہہ,4
567,شرر,4
2189,اٹھتے,4
1704,بہرِ,4
2743,غرض,4
1890,صف,4
1654,رفتہ,4
590,فریب,4
749,مبارک,4
2137,پرویز,4
265,جلا,4
1177,رسوائی,4
1492,عقل,4
626,وطن,4
3612,مکاں,4
1120,دھمکی,4
633,دینا,4
1680,دوں,4
3326,بچا,4
640,تمثال,4
1506,زلفِ,4
642,گلیوں,4
1068,وعدہ,4
647,گزار,4
3771,مومن,4
1175,سینے,4
252,بد,4
607,نقاب,4
3767,حاضر,4
657,دید,4
658,شکار,4
1917,طرزِ,4
1664,معاملہ,4
3623,حجاز,4
2860,ہَے,4
669,پیکاں,4
2097,ظلمت,4
594,نشتر,4
673,دیکھی,4
675,رنج,4
195,پائے,4
3048,گناہ,4
194,نجات,4
2245,گری,4
807,ضبط,4
1196,آگ,4
1957,شکر,4
336,استوار,4
815,گوشۂ,4
816,بساط,4
342,خلش,4
820,تقاضا,4
1149,ساماں,4
1736,گاہِ,4
3700,مردان,4
3091,ڈبویا,4
1363,راہِ,4
839,تشنہ,4
1353,سوا,4
359,شرار,4
1999,کفِ,4
123,جنبش,4
2457,تار,4
2929,چھوڑ,4
2271,طاقتِ,4
516,درویش,4
513,سبزہ,4
2277,چراغِ,4
370,رسوا,4
1737,بندِ,4
1617,لعل,4
1342,بتوں,4
2279,موسم,4
2246,بجلی,4
3604,کارواں,4
1131,تالیف,4
2710,فرمائیں,4
2075,مٹ,4
188,اصل,4
760,دود,4
2440,حد,4
1167,اٹھایا,4
2223,فصل,4
3628,سلطنت,4
554,پرتو,4
1871,ہا,4
1886,جلتا,4
1970,شبِ,4
1640,عجیب,4
788,خیر,4
1130,زرد,4
3040,ہمیشہ,4
793,خرمن,4
1129,پیشتر,4
789,خواہ,4
1145,مغفرت,4
2409,ولے,4
1188,معذور,3
1156,نالۂ,3
4220,شان,3
1201,بال,3
1158,زدہ,3
1164,ہمت,3
3635,مغرب,3
1195,مانند,3
1194,خاموش,3
1203,اندیشہ,3
3620,والے,3
1162,دنداں,3
2350,سی,3
1181,حنا,3
2375,کہتا,3
1178,لاکھ,3
1151,قیس,3
3630,قدسیوں,3
1226,غنچۂ,3
2357,وعدۂ,3
2236,غمخوار,3
1237,پرکاری,3
1596,عرش,3
1574,آرائی,3
1578,تارِ,3
1579,نایاب,3
1588,فرقِ,3
3842,افکار,3
1595,صحبتِ,3
1599,ناگہاں,3
1239,ہشیاری,3
2019,نمایاں,3
1604,یاب,3
1610,بازو,3
2010,جامِ,3
1616,طالعِ,3
1618,بڑا,3
1573,سیلاب,3
1568,عناں,3
3824,طواف,3
1564,گرداب,3
1561,شعلہٴ,3
4072,پاک,3
2059,پے,3
1549,اقرار,3
3811,فاش,3
1541,گراں,3
1535,فرش,3
2082,بستیوں,3
1531,ِ,3
1527,بیچ,3
2086,رشتہ,3
1521,جاناں,3
2090,پنبہ,3
1964,خطِ,3
1650,نگار,3
1955,رُو,3
1872,چہ,3
1791,سیرِ,3
1797,نظم,3
1804,لیتا,3
1768,اغیار,3
1765,عالی,3
1835,شہرِ,3
1749,بازارِ,3
1745,بخشے,3
1743,آتشِ,3
1859,اصلِ,3
1739,تابِ,3
4013,ستارہ,3
1729,مشقِ,3
3936,او,3
1873,آبادی,3
1656,دشتِ,3
1716,ننگِ,3
3922,یورپ,3
3917,نیام,3
1699,محراب,3
1697,انفعال,3
3906,شے,3
1920,سمجھتا,3
3902,طائرک,3
1679,اضطراب,3
1678,پہلو,3
1676,عتاب,3
1933,شیشۂ,3
1671,مدعی,3
3892,با,3
2091,روزن,3
2092,بیدادِ,3
1516,بارِ,3
3662,نشاں,3
2251,دیکھو,3
1367,خداوند,3
4164,جگنو,3
2268,نغمۂ,3
3691,اذاں,3
1343,شاعر,3
1336,قد,3
2285,سجدہ,3
2299,رباب,3
1321,تعبیر,3
3668,قلب,3
1319,مزہ,3
2309,حیراں,3
1313,نخچیر,3
1301,زیر,3
1380,روزِ,3
1300,اسیری,3
1297,چاہے,3
1288,جوئے,3
1287,لانا,3
1285,کرنا,3
2322,غیب,3
3656,غنچے,3
1275,داری,3
3644,ناپائیدار,3
2341,حکم,3
2342,نیا,3
4209,شاعری,3
2345,خدائی,3
1243,ڈھونڈا,3
2249,تمھیں,3
3706,دانش,3
2102,شورِ,3
3760,مدرسہ,3
1509,مقابل,3
1507,سیاہ,3
1502,عنواں,3
1494,گُل,3
1491,متاعِ,3
1484,ملامت,3
3778,جبریل,3
3776,رکھتی,3
2133,فرہاد,3
2146,بقدرِ,3
1465,گرمِ,3
3763,کہکشاں,3
3762,خاکی,3
2155,قمری,3
1457,جمع,3
2232,فغاں,3
1453,مہماں,3
2158,خراج,3
3759,پرسوز,3
2167,چھوڑا,3
1439,بُرا,3
2188,صرف,3
2191,پینے,3
2214,بخود,3
1407,فہم,3
2219,بتِ,3
1401,بجا,3
2226,نظارۂ,3
1395,رضا,3
1391,شہیدِ,3
1528,سیم,3
1783,خوابِ,3
867,جولاں,3
814,اچھل,3
800,شگفتن,3
2707,آکے,3
3174,آتے,3
806,صرفہ,3
3173,لوٹ,3
812,جوش,3
824,گرہ,3
934,اسیر,3
3402,تہ,3
827,دفینہ,3
834,افسوس,3
3408,ریزہ,3
837,ظرف,3
3043,سبھی,3
353,رگ,3
2711,بھرنے,3
2712,نیازی,3
354,ٹپکتا,3
366,بری,3
774,بیم,3
772,جانی,3
3028,ختم,3
3027,لکھوں,3
373,اٹھتا,3
764,بہر,3
763,فشاں,3
3021,یقین,3
3019,اسدِ,3
3018,لاشِ,3
3017,کرسکے,3
393,معین,3
320,وعدے,3
3414,کج,3
3422,میسر,3
2614,چرچا,3
2555,تسلیم,3
930,مثال,3
